Date,Total
"20250415T",76.4
"20250416T",-169.8
"20250417T",106.9
"20250421T",387.4
"20250422T",936.5
"20250423T",917
"20250424T",442
"20250425T",380
"20250428T",591.2
"20250429T",172.8
"20250430T",-56.3
"20250501T",422.5
"20250502T",674.9
